unique_id,ds,y
Austria,2016-10-18,39.9
Austria,2016-10-19,40.46
Austria,2016-10-20,40.69
Austria,2016-10-21,39.93
Austria,2016-10-22,37.45
Austria,2016-10-23,34.57
Austria,2016-10-24,42.23
Austria,2016-10-25,52.88
Austria,2016-10-26,44.95
Austria,2016-10-27,39.21
Austria,2016-10-28,36.17
Austria,2016-10-29,34.54
Austria,2016-10-30,36.8
Austria,2016-10-31,42.98
Austria,2016-11-01,34.49
Austria,2016-11-02,33.36
Austria,2016-11-03,45.49
Austria,2016-11-04,40.55
Austria,2016-11-05,38.66
Austria,2016-11-06,34.56
Austria,2016-11-07,39.13
Austria,2016-11-08,54.17
Austria,2016-11-09,48.21
Austria,2016-11-10,51.93
Austria,2016-11-11,47.79
Austria,2016-11-12,39.52
Austria,2016-11-13,37.02
Austria,2016-11-14,39.75
Austria,2016-11-15,40.37
Austria,2016-11-16,42.68
Austria,2016-11-17,32.84
Austria,2016-11-18,24.74
Austria,2016-11-19,31.55
Austria,2016-11-20,-0.32
Austria,2016-11-21,34.27
Austria,2016-11-22,38.78
Austria,2016-11-23,45.31
Austria,2016-11-24,39.83
Austria,2016-11-25,42.61
Austria,2016-11-26,38.24
Austria,2016-11-27,31.29
Austria,2016-11-28,41.19
Austria,2016-11-29,42.43
Austria,2016-11-30,35.97
Austria,2016-12-01,26.81
Austria,2016-12-02,39.67
Austria,2016-12-03,41.1
Austria,2016-12-04,38.26
Austria,2016-12-05,48.95
Austria,2016-12-06,58.13
Austria,2016-12-07,37.49
Austria,2016-12-08,30.63
Austria,2016-12-09,35.78
Austria,2016-12-10,32.39
Austria,2016-12-11,28.7
Austria,2016-12-12,47.95
Austria,2016-12-13,49.08
Austria,2016-12-14,60.14
Austria,2016-12-15,49.81
Austria,2016-12-16,53.39
Austria,2016-12-17,46.53
Austria,2016-12-18,43.86
Austria,2016-12-19,57.31
Austria,2016-12-20,48.59
Austria,2016-12-21,40.16
Austria,2016-12-22,45.01
Austria,2016-12-23,37.39
Austria,2016-12-24,7.27
Austria,2016-12-25,-1.94
Austria,2016-12-26,-12.79
Austria,2016-12-27,5.93
Austria,2016-12-28,42.16
Austria,2016-12-29,46.18
Austria,2016-12-30,42.0
Austria,2016-12-31,35.65
Austria,2017-01-01,29.78
Austria,2017-01-02,46.47
Austria,2017-01-03,37.49
Austria,2017-01-04,28.2
Austria,2017-01-05,50.16
Austria,2017-01-06,49.39
Austria,2017-01-07,38.4
Austria,2017-01-08,42.9
Austria,2017-01-09,55.6
Austria,2017-01-10,54.88
Austria,2017-01-11,34.8
Austria,2017-01-12,35.14
Austria,2017-01-13,39.57
Austria,2017-01-14,33.29
Austria,2017-01-15,36.3
Austria,2017-01-16,80.31
Austria,2017-01-17,85.06
Austria,2017-01-18,69.75
Austria,2017-01-19,67.13
Austria,2017-01-20,62.92
Austria,2017-01-21,47.96
Austria,2017-01-22,41.38
Austria,2017-01-23,76.38
Austria,2017-01-24,101.82
Austria,2017-01-25,85.56
Austria,2017-01-26,48.6
Austria,2017-01-27,43.98
Austria,2017-01-28,42.24
Austria,2017-01-29,37.67
Austria,2017-01-30,51.78
Austria,2017-01-31,69.68
Austria,2017-02-01,50.72
Austria,2017-02-02,45.23
Austria,2017-02-03,48.05
Austria,2017-02-04,45.25
Austria,2017-02-05,43.83
Austria,2017-02-06,61.73
Austria,2017-02-07,53.1
Austria,2017-02-08,60.23
Austria,2017-02-09,57.45
Austria,2017-02-10,44.96
Austria,2017-02-11,38.23
Austria,2017-02-12,33.02
Austria,2017-02-13,42.48
Austria,2017-02-14,43.19
Austria,2017-02-15,47.15
Austria,2017-02-16,40.59
Austria,2017-02-17,43.13
Austria,2017-02-18,40.01
Austria,2017-02-19,28.41
Austria,2017-02-20,30.44
Austria,2017-02-21,33.11
Austria,2017-02-22,22.91
Austria,2017-02-23,26.16
Austria,2017-02-24,29.68
Austria,2017-02-25,28.83
Austria,2017-02-26,14.16
Austria,2017-02-27,28.36
Austria,2017-02-28,30.64
Austria,2017-03-01,35.58
Austria,2017-03-02,27.24
Austria,2017-03-03,38.46
Austria,2017-03-04,33.41
Austria,2017-03-05,18.26
Austria,2017-03-06,38.83
Austria,2017-03-07,44.63
Austria,2017-03-08,36.28
Austria,2017-03-09,37.81
Austria,2017-03-10,34.07
Austria,2017-03-11,32.73
Austria,2017-03-12,18.73
Austria,2017-03-13,36.42
Austria,2017-03-14,34.25
Austria,2017-03-15,34.0
Austria,2017-03-16,34.07
Austria,2017-03-17,28.07
Austria,2017-03-18,19.88
Austria,2017-03-19,13.32
Austria,2017-03-20,29.4
Austria,2017-03-21,30.96
Austria,2017-03-22,35.46
Austria,2017-03-23,34.15
Austria,2017-03-24,34.44
Austria,2017-03-25,28.19
Austria,2017-03-26,27.96
Austria,2017-03-27,34.97
Austria,2017-03-28,34.4
Austria,2017-03-29,31.31
Austria,2017-03-30,33.41
Austria,2017-03-31,31.79
Austria,2017-04-01,30.6
Austria,2017-04-02,29.8
Austria,2017-04-03,37.51
Austria,2017-04-04,38.56
Austria,2017-04-05,31.13
Austria,2017-04-06,31.06
Austria,2017-04-07,34.54
Austria,2017-04-08,34.48
Austria,2017-04-09,27.56
Austria,2017-04-10,27.34
Austria,2017-04-11,33.6
Austria,2017-04-12,27.0
Austria,2017-04-13,30.25
Austria,2017-04-14,30.58
Austria,2017-04-15,12.4
Austria,2017-04-16,20.27
Austria,2017-04-17,25.52
Austria,2017-04-18,34.41
Austria,2017-04-19,37.22
Austria,2017-04-20,36.74
Austria,2017-04-21,25.79
Austria,2017-04-22,12.65
Austria,2017-04-23,12.78
Austria,2017-04-24,31.46
Austria,2017-04-25,36.05
Austria,2017-04-26,40.0
Austria,2017-04-27,36.74
Austria,2017-04-28,36.85
Austria,2017-04-29,29.95
Austria,2017-04-30,-11.21
Austria,2017-05-01,-21.05
Austria,2017-05-02,30.14
Austria,2017-05-03,34.37
Austria,2017-05-04,32.98
Austria,2017-05-05,38.53
Austria,2017-05-06,32.17
Austria,2017-05-07,27.98
Austria,2017-05-08,33.84
Austria,2017-05-09,39.83
Austria,2017-05-10,38.77
Austria,2017-05-11,33.58
Austria,2017-05-12,35.88
Austria,2017-05-13,31.76
Austria,2017-05-14,28.18
Austria,2017-05-15,36.42
Austria,2017-05-16,34.22
Austria,2017-05-17,32.23
Austria,2017-05-18,33.08
Austria,2017-05-19,34.04
Austria,2017-05-20,26.2
Austria,2017-05-21,19.44
Austria,2017-05-22,36.33
Austria,2017-05-23,32.94
Austria,2017-05-24,32.79
Austria,2017-05-25,27.4
Austria,2017-05-26,33.08
Austria,2017-05-27,25.76
Austria,2017-05-28,21.22
Austria,2017-05-29,37.37
Austria,2017-05-30,36.36
Austria,2017-05-31,33.05
Austria,2017-06-01,36.28
Austria,2017-06-02,36.49
Austria,2017-06-03,30.34
Austria,2017-06-04,22.63
Austria,2017-06-05,27.53
Austria,2017-06-06,20.53
Austria,2017-06-07,13.51
Austria,2017-06-08,30.11
Austria,2017-06-09,33.82
Austria,2017-06-10,30.52
Austria,2017-06-11,20.56
Austria,2017-06-12,25.08
Austria,2017-06-13,33.02
Austria,2017-06-14,37.53
Austria,2017-06-15,31.71
Austria,2017-06-16,19.46
Austria,2017-06-17,25.78
Austria,2017-06-18,28.67
Austria,2017-06-19,38.09
Austria,2017-06-20,35.54
Austria,2017-06-21,39.8
Austria,2017-06-22,34.67
Austria,2017-06-23,30.3
Austria,2017-06-24,21.91
Austria,2017-06-25,19.14
Austria,2017-06-26,32.91
Austria,2017-06-27,38.64
Austria,2017-06-28,35.57
Austria,2017-06-29,37.88
Austria,2017-06-30,32.11
Austria,2017-07-01,27.87
Austria,2017-07-02,24.26
Austria,2017-07-03,32.75
Austria,2017-07-04,35.31
Austria,2017-07-05,38.74
Austria,2017-07-06,39.4
Austria,2017-07-07,37.55
Austria,2017-07-08,34.05
Austria,2017-07-09,33.11
